Class,Description
1,"Chemicals used in industry, science and photography, as well as in agriculture, horticulture and forestry"
2,"Paints, varnishes, lacquers; preservatives against rust and against deterioration of wood"
3,"Bleaching preparations and other substances for laundry use; cleaning, polishing, scouring and abrasive preparations"
4,"Industrial oils and greases; lubricants; dust absorbing, wetting and binding compositions"
5,Pharmaceutical and veterinary preparations; sanitary preparations for medical purposes
6,Common metals and their alloys; metal building materials; transportable buildings of metal
7,Machines and machine tools; motors and engines (except for land vehicles)
8,Hand tools and implements (hand-operated); cutlery; side arms; razors
9,"Scientific, nautical, surveying, photographic, cinematographic, optical, weighing, measuring, signalling, checking (supervision), life-saving and teaching apparatus and instruments"
10,"Surgical, medical, dental and veterinary apparatus and instruments, artificial limbs, eyes and teeth"
11,"Apparatus for lighting, heating, steam generating, cooking, refrigerating, drying, ventilating, water supply and sanitary purposes"
12,"Vehicles; apparatus for locomotion by land, air or water"
13,Firearms; ammunition and projectiles; explosives; fireworks
14,Precious metals and their alloys and goods in precious metals or coated therewith
15,Musical instruments
16,"Paper, cardboard and goods made from these materials; printed matter; bookbinding material"
17,"Rubber, gutta-percha, gum, asbestos, mica and goods made from these materials"
18,"Leather and imitations of leather, and goods made of these materials"
19,Building materials (non-metallic); non-metallic rigid pipes for building
20,"Furniture, mirrors, picture frames; goods of wood, cork, reed, cane, wicker, horn, bone, ivory, whalebone, shell, amber, mother-of-pearl, meerschaum and substitutes for all these materials"
21,Household or kitchen utensils and containers; combs and sponges; brushes
22,"Ropes, string, nets, tents, awnings, tarpaulins, sails, sacks and bags"
23,"Yarns and threads, for textile use"
24,"Textiles and textile goods, not included in other classes; bed and table covers"
25,"Clothing, footwear, headgear"
26,"Lace and embroidery, ribbons and braid; buttons, hooks and eyes, pins and needles"
27,"Carpets, rugs, mats and matting, linoleum and other materials for covering existing floors"
28,Games and playthings; gymnastic and sporting articles not included in other classes
29,"Meat, fish, poultry and game; meat extracts; preserved, frozen, dried and cooked fruits and vegetables"
30,"Coffee, tea, cocoa, sugar, rice, tapioca, sago, artificial coffee"
31,"Agricultural, horticultural and forestry products and grains not included in other classes"
32,Beers; mineral and aerated waters and other non-alcoholic drinks
33,Alcoholic beverages (except beers)
34,Tobacco; smokers' articles; matches
35,Advertising; business management; business administration; office functions
36,Insurance; financial affairs; monetary affairs; real estate affairs
37,Building construction; repair; installation services
38,Telecommunications
39,Transport; packaging and storage of goods; travel arrangement
40,Treatment of materials
41,Education; providing of training; entertainment; sporting and cultural activities
42,Scientific and technological services and research and design relating thereto
43,Services for providing food and drink; temporary accommodation
44,Medical services; veterinary services; hygienic and beauty care for human beings or animals
45,Legal services; security services for the protection of property and individuals
